Date,Total_Revenue,Total_Freight,Order_Count,Avg_Delivery_Days,Is_Weekend,Macro Category
31/07/2018 00:00,12482.94,1685.71,68,9.514705882,Weekday,Tech & Gadgets
30/07/2018 00:00,7480.61,1118.49,59,8.310344828,Weekday,Tech & Gadgets
27/07/2018 00:00,7424.42,1014.02,46,10.41304348,Weekday,Tech & Gadgets
26/07/2018 00:00,10099.89,1413.64,54,8.886792453,Weekday,Tech & Gadgets
25/07/2018 00:00,12671.57,1137.34,53,7.622641509,Weekday,Tech & Gadgets
24/07/2018 00:00,4727.5,748.23,40,8,Weekday,Tech & Gadgets
23/07/2018 00:00,5880.86,1233.49,65,8.566666667,Weekday,Tech & Gadgets
20/07/2018 00:00,9022.57,1130.14,63,9.031746032,Weekday,Tech & Gadgets
19/07/2018 00:00,7651.79,843.14,44,10.04545455,Weekday,Tech & Gadgets
18/07/2018 00:00,6853.93,1107.54,56,9.490909091,Weekday,Tech & Gadgets
17/07/2018 00:00,7142.49,910.78,44,8.558139535,Weekday,Tech & Gadgets
16/07/2018 00:00,7236.45,1155.5,51,8.666666667,Weekday,Tech & Gadgets
13/07/2018 00:00,7009.2,1068.49,47,13.38297872,Weekday,Tech & Gadgets
12/07/2018 00:00,6904.94,686.19,34,13.03030303,Weekday,Tech & Gadgets
11/07/2018 00:00,4878.08,809.89,30,11.6,Weekday,Tech & Gadgets
10/07/2018 00:00,3930.76,653.31,33,9.71875,Weekday,Tech & Gadgets
09/07/2018 00:00,3672.12,477.74,25,10.4,Weekday,Tech & Gadgets
06/07/2018 00:00,2354.85,288.18,20,8.789473684,Weekday,Tech & Gadgets
05/07/2018 00:00,5692.6,667.34,39,9.435897436,Weekday,Tech & Gadgets
04/07/2018 00:00,7422.71,974.53,44,7.272727273,Weekday,Tech & Gadgets
03/07/2018 00:00,4766.43,765.3,48,8.170212766,Weekday,Tech & Gadgets
02/07/2018 00:00,5419.33,778.08,41,8.3,Weekday,Tech & Gadgets
29/06/2018 00:00,4001.03,836.9,42,9.463414634,Weekday,Tech & Gadgets
28/06/2018 00:00,6993.81,887.13,45,9.045454545,Weekday,Tech & Gadgets
27/06/2018 00:00,4192.96,708.76,40,7.75,Weekday,Tech & Gadgets
26/06/2018 00:00,6720.83,901.62,49,7.916666667,Weekday,Tech & Gadgets
25/06/2018 00:00,9479.48,1215.26,62,7.032786885,Weekday,Tech & Gadgets
22/06/2018 00:00,9819.41,1022.18,45,9.844444444,Weekday,Tech & Gadgets
21/06/2018 00:00,7372.52,1369.95,60,10.08333333,Weekday,Tech & Gadgets
20/06/2018 00:00,7143.1,1253.63,48,9.446808511,Weekday,Tech & Gadgets
19/06/2018 00:00,6970.84,1066.8,48,8.723404255,Weekday,Tech & Gadgets
